Drawing_RFAS,Linked_RFI
523213-01-RFAS-EL-0050,"523213-01-RFI-EL-0017, 523213-01-RFI-EL-0001, 523213-01-RFI-EL-0014, 523213-01-RFI-EL-0016, 523213-01-RFI-EL-0021, 523213-01-RFI-EL-0048"
523213-01-RFAS-EL-0041,523213-01-RFI-EL-0029
523213-01-RFAS-EL-0051,"523213-01-RFI-EL-0001, 523213-01-RFI-EL-0014, 523213-01-RFI-EL-0016, 523213-01-RFI-EL-0021"
523213-01-RFAS-EL-0070,"523213-01-RFI-EL-0007, 523213-01-RFI-EL-0022, 523213-01-RFI-EL-0029"
